"AS","ASC","NRC"
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.663,0.638298279794716
"neutral",0.6895,0.638298279794716
"negative",0.6651,0.3413
"neutral",0.6559,0
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.6655,0.638298279794716
"positive",0.6522,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6632,0.638298279794716
"negative",1,0.3556
"negative",1,0.6326
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6477,0
"neutral",0.6202,0
"positive",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3373
"negative",1,0.3434
"negative",1,0.6773
"negative",0.6703,0.6703
"negative",1,0.6977
"positive",0.6431,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.6559,0.638298279794716
"positive",0.6681,0.638298279794716
"positive",0.7162,0.638298279794716
"neutral",0.6941,0.638298279794716
"negative",1,1
"neutral",0.6705,0.638298279794716
"positive",0.6733,0.638298279794716
"neutral",0.6601,0.638298279794716
"neutral",0.6198,0.638298279794716
"neutral",0.3542,0
"positive",0.6858,0
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6803,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6446,0
"negative",1,0.7012
"positive",1,0.638298279794716
"neutral",0.6457,0.638298279794716
"neutral",0.6731,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6831,0
"negative",1,0.7055
"positive",0.678,0
"negative",1,0.6458
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.6834
"negative",0.6579,0.6579
"negative",0.6515,0.3358
"positive",0.3516,0
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6667,0
"positive",1,0.638298279794716
"negative",0.6778,0.6778
"negative",0.3573,0.3573
"negative",1,0.6737
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6694,0
"neutral",0.6376,0
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.703
"negative",1,1
"positive",0.3441,0
"negative",0.3475,0.3475
"neutral",0.645,0
"negative",0.6667,0.3333
"neutral",0.6761,0
"negative",0.6735,0.3476
"neutral",1,0.638298279794716
"positive",0.6634,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.67,0
"negative",1,0.6816
"negative",1,0.66
"negative",0.6547,0.3331
"positive",0.6351,0.638298279794716
"neutral",0.6768,0
"negative",1,0.6886
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6526,0.6526
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6703
"negative",1,1
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.7071
"negative",1,0.6614
"neutral",1,0.638298279794716
"negative",1,0.6421
"negative",1,0.6459
"neutral",0.6665,0.638298279794716
"negative",1,0.6624
"negative",1,0.6575
"negative",0.6495,0.6495
"negative",0.6538,0.6538
"negative",1,1
"negative",0.6931,0.3626
"negative",1,0.3732
"neutral",0.6492,0
"neutral",0.6776,0
"neutral",1,0.638298279794716
"neutral",0.6523,0
"negative",1,0.691
"neutral",0.663,0
"positive",0.6793,0
"negative",1,0.6806
"negative",1,0.6716
"negative",1,0.7021
"neutral",0.6589,0.638298279794716
"negative",1,0.6383
"positive",1,0.638298279794716
"negative",1,0.6516
"negative",1,0.6542
"negative",0.6695,0.3356
"positive",1,0.638298279794716
"negative",1,0.6684
"negative",1,1
"negative",0.6791,0.6791
"negative",1,0.6563
"negative",1,1
"negative",1,0.3551
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6706
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.6421,0
"negative",0.66,0.3503
"negative",1,0.6593
"negative",1,0.6735
"negative",1,0.3478
"negative",1,1
"negative",0.6794,0.3802
"negative",1,0.6765
"negative",1,0.699
"negative",0.6722,0.3443
"negative",1,0.3535
"positive",0.663,0
"neutral",0.6764,0
"negative",1,0.6827
"negative",1,1
"negative",0.6752,0.3468
"negative",1,0.6834
"negative",1,1
"negative",0.6957,0.6957
"negative",0.6281,0.3391
"positive",1,0.638298279794716
"neutral",0.6466,0
"positive",0.6891,0.638298279794716
"neutral",0.6638,0.638298279794716
"neutral",0.6842,0.638298279794716
"negative",0.6354,0.6354
"negative",1,0.6667
"negative",1,0.6548
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,0.6596
"positive",0.635,0
"neutral",1,0.638298279794716
"neutral",0.703,0
"negative",1,0.6951
"neutral",0.6593,0.638298279794716
"negative",1,0.6536
"neutral",0.6804,0
"negative",1,0.6689
"negative",1,0.6854
"negative",0.6633,0.3367
"negative",1,1
"negative",1,1
"negative",1,0.674
"negative",1,0.6669
"neutral",0.6891,0
"negative",1,1
"negative",1,1
"neutral",0.6985,0.638298279794716
"neutral",0.6051,0
"negative",1,1
"neutral",0.6349,0
"negative",0.6288,0.6288
"negative",1,0.6413
"negative",1,1
"negative",1,0.6723
"negative",1,0.6818
"negative",1,0.385
"negative",1,0.3501
"negative",0.6501,0.3265
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",0.6611,0.6611
"neutral",1,0.638298279794716
"negative",0.6894,0.3497
"neutral",0.6714,0
"negative",1,1
"negative",0.6692,0.3426
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.6923,0.3846
"negative",1,0.6606
"negative",1,1
"negative",1,0.6483
"neutral",1,0.638298279794716
"neutral",0.663,0
"negative",1,0.6599
"negative",0.7125,0.7125
"negative",1,1
"neutral",0.6735,0
"positive",0.6632,0
"negative",0.6832,0.6832
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.6392,0.3402
"negative",0.6535,0.3663
"neutral",0.352,0
"positive",1,0.638298279794716
"negative",0.6421,0.3263
"negative",1,1
"negative",1,1
"negative",0.6771,0.3542
"negative",1,1
"negative",1,0.668
"negative",0.6515,0.6515
"negative",1,0.3547
"neutral",0.3433,0
"positive",0.6667,0
"neutral",0.6765,0
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"positive",0.6455,0.638298279794716
"negative",1,0.6995
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6667
"negative",0.6296,0.6296
"negative",1,1
"positive",0.7141,0
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.7115,0.7115
"negative",0.6635,0.6635
"neutral",0.6762,0.638298279794716
"neutral",0.6904,0
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6975
"negative",0.6775,0.3513
"negative",1,1
"negative",1,1
"negative",0.69,0.69
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6957
"negative",1,0.3635
"neutral",0.6376,0
"negative",1,0.6829
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.3474
"neutral",0.6429,0
"negative",1,0.3553
"negative",1,1
"negative",1,1
"negative",1,0.6632
"negative",1,1
"negative",1,0.6736
"neutral",1,0.638298279794716
"negative",1,0.3684
"negative",1,0.3444
"positive",1,0.638298279794716
"negative",1,0.6833
"negative",0.6721,0.6721
"negative",1,0.6712
"neutral",0.6738,0
"negative",0.6632,0.6632
"negative",0.6633,0.3571
"neutral",0.676,0
"neutral",1,0.638298279794716
"negative",0.6492,0.6492
"positive",1,0.638298279794716
"negative",1,1
"negative",0.6667,0.3542
"neutral",1,0.638298279794716
"negative",0.6438,0.3318
"negative",0.6737,0.6737
"negative",1,0.3449
"negative",0.3579,0.3579
"neutral",0.7065,0
"negative",1,0.6766
"negative",1,1
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6842
"neutral",1,0.638298279794716
"negative",1,0.346
"negative",1,1
"negative",1,0.6876
"negative",1,1
"negative",1,1
"neutral",0.6373,0
"negative",0.6641,0.3424
"neutral",1,0.638298279794716
"negative",1,0.7048
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6846
"positive",1,0.638298279794716
"negative",1,0.6567
"negative",1,1
"negative",1,0.6473
"negative",1,1
"neutral",0.6842,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6354,0.3431
"neutral",0.6533,0
"negative",0.6563,0.6563
"negative",1,0.6667
"neutral",1,0.638298279794716
"neutral",0.6489,0
"negative",1,0.3847
"negative",1,1
"negative",1,1
"negative",1,0.7008
"negative",1,0.7201
"neutral",0.6548,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,0.3505
"negative",1,0.672
"positive",0.688,0
"negative",1,1
"negative",1,0.708
"negative",0.6386,0.6386
"negative",1,1
"negative",1,1
"neutral",0.7029,0
"positive",0.6634,0
"negative",0.6352,0.3231
"neutral",1,0.638298279794716
"neutral",0.6464,0
"negative",0.6588,0.6588
"negative",1,0.6863
"neutral",0.631,0
"neutral",0.732,0.638298279794716
"negative",1,0.3582
"negative",1,1
"negative",0.7055,0.7055
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.697
"negative",1,0.3819
"negative",0.6957,0.6957
"neutral",0.6548,0
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",0.6688,0.3519
"negative",0.7,0.7
"negative",1,0.6305
"negative",1,1
"negative",1,1
"positive",0.6702,0.638298279794716
"positive",0.3388,0
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,0.6632
"negative",1,1
"negative",1,0.3417
"negative",1,0.6667
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6633
"positive",1,0.638298279794716
"negative",1,0.6469
"negative",1,0.3536
"negative",1,1
"negative",1,1
"negative",1,0.3458
"negative",1,1
"neutral",0.6684,0
"positive",1,0.638298279794716
"negative",1,0.697
"neutral",0.6702,0
"negative",0.6847,0.6847
"negative",0.6776,0.3451
"negative",0.6354,0.6354
"negative",1,1
"negative",1,0.3525
"negative",1,0.3723
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.6644,0.3437
"negative",1,0.6392
"positive",1,0.638298279794716
"neutral",0.6641,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6489
"neutral",1,0.638298279794716
"negative",0.3482,0.3482
"negative",1,0.6702
"negative",1,0.376
"negative",0.3721,0.3721
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"neutral",0.67,0
"neutral",1,0.638298279794716
"positive",0.3427,0
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"neutral",0.666,0
"positive",1,0.638298279794716
"negative",1,0.6689
"positive",0.6699,0.638298279794716
"negative",1,0.6512
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"neutral",0.6479,0
"negative",1,0.3639
"negative",1,0.6634
"negative",1,0.6669
"negative",1,0.6816
"negative",0.6774,0.3441
"negative",1,0.3603
"neutral",0.3435,0
"negative",1,0.6559
"neutral",0.6788,0
"negative",0.6803,0.6803
"positive",1,0.638298279794716
"negative",0.6914,0.3704
"negative",1,0.352
"negative",1,0.366
"negative",1,0.656
"neutral",0.6557,0.638298279794716
"negative",0.6482,0.3294
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6566
"negative",1,0.6551
"negative",1,0.6656
"negative",1,0.6726
"neutral",0.6511,0
"negative",1,1
"negative",0.7083,0.375
"negative",1,0.6667
"neutral",1,0.638298279794716
"neutral",0.6832,0.638298279794716
"negative",1,0.3477
"neutral",0.6612,0
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6697
"positive",0.6682,0
"negative",1,0.355
"negative",1,0.6466
"negative",0.6558,0.356
"negative",0.7008,0.7008
"negative",1,0.663
"negative",1,0.6566
"negative",1,0.663
"positive",0.6741,0
"negative",1,1
"negative",1,0.6753
"negative",1,0.3442
"negative",1,0.6354
"negative",1,1
"negative",0.688,0.688
"positive",1,0.638298279794716
"neutral",0.6742,0
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.6778
"negative",0.6337,0.3334
"negative",1,0.6512
"neutral",1,0.638298279794716
"negative",1,0.7067
"negative",1,1
"neutral",0.7059,0
"negative",0.6468,0.6468
"neutral",1,0.638298279794716
"negative",1,0.6737
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.65
"negative",1,1
"neutral",0.6825,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6526
"negative",1,0.3507
"negative",1,0.6778
"negative",1,1
"negative",1,1
"negative",1,0.666
"negative",1,0.3529
"negative",1,0.6668
"negative",1,0.6804
"negative",1,1
"negative",1,1
"negative",1,0.6625
"negative",1,0.657
"negative",0.6625,0.3593
"negative",1,0.627
"negative",1,0.3416
"neutral",0.679,0.638298279794716
"neutral",0.335,0
"negative",1,1
"negative",1,0.6632
"negative",1,0.6633
"negative",0.663,0.3478
"positive",0.6534,0.638298279794716
"negative",1,0.7065
"negative",1,1
"negative",1,0.6667
"positive",0.6915,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",0.6995,0.6995
"negative",0.6703,0.34
"negative",1,0.3469
"negative",1,0.3845
"neutral",1,0.638298279794716
"negative",1,0.6675
"negative",1,1
"negative",1,1
"negative",1,0.6497
"negative",1,1
"positive",1,0.638298279794716
"negative",0.6939,0.3571
"neutral",1,0.638298279794716
"positive",0.6625,0
"negative",1,1
"negative",0.649,0.649
"negative",1,0.3389
"negative",1,0.3513
"negative",1,1
"positive",0.6729,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6346,0.638298279794716
"negative",1,1
"negative",1,0.6875
"negative",1,0.6632
"negative",1,0.6562
"negative",1,0.3612
"negative",1,0.6782
"negative",1,0.3526
"neutral",0.6593,0.638298279794716
"negative",1,0.3435
"negative",1,0.6945
"positive",1,0.638298279794716
"negative",1,0.6919
"neutral",0.6821,0
"positive",0.643,0
"positive",0.6627,0
"negative",1,1
"negative",1,1
"negative",1,1
"negative",0.6721,0.6721
"negative",1,1
"negative",1,1
"negative",0.6661,0.6661
"negative",1,0.6633
"negative",0.6875,0.3542
"positive",1,0.638298279794716
"negative",0.6383,0.3217
"negative",1,1
"negative",1,1
"positive",0.3433,0
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3585
"negative",1,1
"negative",1,1
"negative",1,0.6883
"negative",1,0.6824
"neutral",0.7099,0.638298279794716
"neutral",0.6594,0
"neutral",0.6461,0
"negative",1,0.6803
"negative",1,1
"negative",1,0.6867
"positive",1,0.638298279794716
"negative",0.6671,0.3651
"negative",0.6506,0.3535
"negative",1,0.665
"negative",1,0.6196
"positive",1,0.638298279794716
"negative",0.6568,0.3479
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6743
"negative",1,1
"negative",1,0.6739
"positive",0.7,0.638298279794716
"neutral",0.6419,0
"negative",1,0.3602
"negative",1,1
"neutral",0.6566,0.638298279794716
"negative",0.7058,0.7058
"negative",1,0.6598
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6467
"positive",1,0.638298279794716
"negative",1,0.3587
"negative",1,0.6667
"positive",0.6809,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,1
"negative",0.6775,0.3513
"neutral",0.3603,0
"negative",1,1
"negative",1,1
"positive",0.6349,0
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6995,0.6995
"negative",1,1
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.6704,0.638298279794716
"negative",1,0.6588
"neutral",1,0.638298279794716
"negative",1,0.654
"positive",0.3586,0
"negative",1,0.6827
"negative",0.7,0.3705
"negative",1,0.6613
"negative",1,0.356
"negative",0.6768,0.6768
"negative",1,0.69
"negative",1,1
"negative",1,0.6732
"negative",1,0.6906
"negative",0.679,0.679
"negative",1,0.6594
"negative",1,0.6702
"negative",1,0.6854
"neutral",0.7047,0
"negative",0.6421,0.6421
"negative",0.7259,0.3705
