"kmeans1","kmeans2"
0.6559,NA
0.6681,NA
0.7162,NA
0.6941,NA
1,1
0.6705,NA
0.6733,NA
0.6601,NA
0.6198,NA
0.3542,0
0.6858,0
1,NA
1,NA
0.6803,NA
1,NA
0.6446,0
1,0.7012
1,NA
0.6457,NA
0.6731,NA
1,NA
1,NA
1,NA
1,NA
1,NA
0.6831,0
1,0.7055
0.678,0
1,0.6458
1,NA
1,NA
1,1
1,0.6834
0.6579,0.6579
0.6515,0.3358
0.3516,0
1,NA
1,NA
1,NA
0.6667,0
1,NA
0.6778,0.6778
0.3573,0.3573
1,0.6737
1,NA
1,NA
1,NA
0.6694,0
0.6376,0
1,NA
1,NA
1,NA
1,NA
1,0.703
1,1
0.3441,0
0.3475,0.3475
0.645,0
0.6667,0.3333
0.6761,0
0.6735,0.3476
1,NA
0.6634,NA
1,NA
0.67,0
1,0.6816
1,0.66
0.6547,0.3331
0.6351,NA
0.6768,0
1,0.6886
1,NA
1,NA
0.6526,0.6526
1,NA
1,NA
1,0.6703
1,1
1,NA
1,NA
1,0.7071
1,0.6614
1,NA
1,0.6421
1,0.6459
0.6665,NA
1,0.6624
1,0.6575
0.6495,0.6495
0.6538,0.6538
1,1
0.6931,0.3626
1,0.3732
0.6492,0
0.6776,0
1,NA
0.6523,0
1,0.691
0.663,0
0.6793,0
1,0.6806
1,0.6716
1,0.7021
0.6589,NA
1,0.6383
1,NA
1,0.6516
1,0.6542
0.6695,0.3356
1,NA
1,0.6684
1,1
0.6791,0.6791
1,0.6563
1,1
1,0.3551
1,1
1,1
1,NA
1,0.6706
1,1
1,1
1,1
1,NA
1,NA
0.6421,0
0.66,0.3503
1,0.6593
1,0.6735
1,0.3478
1,1
0.6794,0.3802
1,0.6765
1,0.699
0.6722,0.3443
1,0.3535
0.663,0
0.6764,0
1,0.6827
1,1
0.6752,0.3468
1,0.6834
1,1
0.6957,0.6957
0.6281,0.3391
1,NA
0.6466,0
0.6891,NA
0.6638,NA
0.6842,NA
0.6354,0.6354
1,0.6667
1,0.6548
1,1
1,NA
1,1
1,1
1,0.6596
0.635,0
1,NA
0.703,0
1,0.6951
0.6593,NA
1,0.6536
0.6804,0
1,0.6689
1,0.6854
0.6633,0.3367
1,1
1,1
1,0.674
1,0.6669
0.6891,0
1,1
1,1
0.6985,NA
0.6051,0
1,1
0.6349,0
0.6288,0.6288
1,0.6413
1,1
1,0.6723
1,0.6818
1,0.385
1,0.3501
0.6501,0.3265
1,1
1,NA
1,1
1,1
0.6611,0.6611
1,NA
0.6894,0.3497
0.6714,0
1,1
0.6692,0.3426
1,1
1,1
1,NA
0.6923,0.3846
1,0.6606
1,1
1,0.6483
1,NA
0.663,0
1,0.6599
0.7125,0.7125
1,1
0.6735,0
0.6632,0
0.6832,0.6832
1,1
1,NA
0.6392,0.3402
0.6535,0.3663
0.352,0
1,NA
0.6421,0.3263
1,1
1,1
0.6771,0.3542
1,1
1,0.668
0.6515,0.6515
1,0.3547
0.3433,0
0.6667,0
0.6765,0
1,1
1,1
1,1
1,1
1,1
0.6455,NA
1,0.6995
1,1
1,NA
1,1
1,NA
1,1
1,1
1,NA
1,0.6667
0.6296,0.6296
1,1
0.7141,0
1,1
1,1
1,NA
0.7115,0.7115
0.6635,0.6635
0.6762,NA
0.6904,0
1,1
1,1
1,NA
1,0.6975
0.6775,0.3513
1,1
1,1
0.69,0.69
1,1
1,NA
1,0.6957
1,0.3635
0.6376,0
1,0.6829
1,NA
1,NA
1,NA
1,0.3474
0.6429,0
1,0.3553
1,1
1,1
1,0.6632
1,1
1,0.6736
1,NA
1,0.3684
1,0.3444
1,NA
1,0.6833
0.6721,0.6721
1,0.6712
0.6738,0
0.6632,0.6632
0.6633,0.3571
0.676,0
1,NA
0.6492,0.6492
1,NA
1,1
0.6667,0.3542
1,NA
0.6438,0.3318
0.6737,0.6737
1,0.3449
0.3579,0.3579
0.7065,0
1,0.6766
1,1
1,1
1,1
1,NA
1,0.6842
1,NA
1,0.346
1,1
1,0.6876
1,1
1,1
0.6373,0
0.6641,0.3424
1,NA
1,0.7048
1,NA
1,1
1,1
1,NA
1,0.6846
1,NA
1,0.6567
1,1
1,0.6473
1,1
0.6842,NA
1,NA
1,NA
0.6354,0.3431
0.6533,0
0.6563,0.6563
1,0.6667
1,NA
0.6489,0
1,0.3847
1,1
1,1
1,0.7008
1,0.7201
0.6548,NA
1,1
1,1
1,0.3505
1,0.672
0.688,0
1,1
1,0.708
0.6386,0.6386
1,1
1,1
0.7029,0
0.6634,0
0.6352,0.3231
1,NA
0.6464,0
0.6588,0.6588
1,0.6863
0.631,0
0.732,NA
1,0.3582
1,1
0.7055,0.7055
1,1
1,NA
1,0.697
1,0.3819
0.6957,0.6957
0.6548,0
1,1
1,1
1,1
1,1
1,1
0.6688,0.3519
0.7,0.7
1,0.6305
1,1
1,1
0.6702,NA
0.3388,0
1,NA
1,1
1,1
1,0.6632
1,1
1,0.3417
1,0.6667
1,1
1,NA
1,1
1,0.6633
1,NA
1,0.6469
1,0.3536
1,1
1,1
1,0.3458
1,1
0.6684,0
1,NA
1,0.697
0.6702,0
0.6847,0.6847
0.6776,0.3451
0.6354,0.6354
1,1
1,0.3525
1,0.3723
1,1
1,NA
0.6644,0.3437
1,0.6392
1,NA
0.6641,NA
1,NA
1,0.6489
1,NA
0.3482,0.3482
1,0.6702
1,0.376
0.3721,0.3721
1,NA
1,NA
1,1
1,NA
0.67,0
1,NA
0.3427,0
1,1
1,1
1,NA
1,NA
1,1
0.666,0
1,NA
1,0.6689
0.6699,NA
1,0.6512
1,NA
1,1
1,1
1,NA
0.6479,0
1,0.3639
1,0.6634
1,0.6669
1,0.6816
0.6774,0.3441
1,0.3603
0.3435,0
1,0.6559
0.6788,0
0.6803,0.6803
1,NA
0.6914,0.3704
1,0.352
1,0.366
1,0.656
0.6557,NA
0.6482,0.3294
1,NA
1,NA
1,0.6566
1,0.6551
1,0.6656
1,0.6726
0.6511,0
1,1
0.7083,0.375
1,0.6667
1,NA
0.6832,NA
1,0.3477
0.6612,0
1,1
1,1
1,NA
1,0.6697
0.6682,0
1,0.355
1,0.6466
0.6558,0.356
0.7008,0.7008
1,0.663
1,0.6566
1,0.663
0.6741,0
1,1
1,0.6753
1,0.3442
1,0.6354
1,1
0.688,0.688
1,NA
0.6742,0
1,NA
1,NA
1,1
1,0.6778
0.6337,0.3334
1,0.6512
1,NA
1,0.7067
1,1
0.7059,0
0.6468,0.6468
1,NA
1,0.6737
1,1
1,NA
1,1
1,0.65
1,1
0.6825,NA
1,1
1,1
1,1
1,0.6526
1,0.3507
1,0.6778
1,1
1,1
1,0.666
1,0.3529
1,0.6668
1,0.6804
1,1
1,1
1,0.6625
1,0.657
0.6625,0.3593
1,0.627
1,0.3416
0.679,NA
0.335,0
1,1
1,0.6632
1,0.6633
0.663,0.3478
0.6534,NA
1,0.7065
1,1
1,0.6667
0.6915,NA
1,NA
1,1
0.6995,0.6995
0.6703,0.34
1,0.3469
1,0.3845
1,NA
1,0.6675
1,1
1,1
1,0.6497
1,1
1,NA
0.6939,0.3571
1,NA
0.6625,0
1,1
0.649,0.649
1,0.3389
1,0.3513
1,1
0.6729,NA
1,NA
0.6346,NA
1,1
1,0.6875
1,0.6632
1,0.6562
1,0.3612
1,0.6782
1,0.3526
0.6593,NA
1,0.3435
1,0.6945
1,NA
1,0.6919
0.6821,0
0.643,0
0.6627,0
1,1
1,1
1,1
0.6721,0.6721
1,1
1,1
0.6661,0.6661
1,0.6633
0.6875,0.3542
1,NA
0.6383,0.3217
1,1
1,1
0.3433,0
1,1
1,1
1,NA
1,0.3585
1,1
1,1
1,0.6883
1,0.6824
0.7099,NA
0.6594,0
0.6461,0
1,0.6803
1,1
1,0.6867
1,NA
0.6671,0.3651
0.6506,0.3535
1,0.665
1,0.6196
1,NA
0.6568,0.3479
1,1
1,1
1,1
1,0.6743
1,1
1,0.6739
0.7,NA
0.6419,0
1,0.3602
1,1
0.6566,NA
0.7058,0.7058
1,0.6598
1,NA
1,NA
1,1
1,0.6467
1,NA
1,0.3587
1,0.6667
0.6809,NA
1,NA
1,NA
1,1
1,1
1,1
0.6775,0.3513
0.3603,0
1,1
1,1
0.6349,0
1,NA
1,NA
0.6995,0.6995
1,1
1,NA
1,NA
0.6704,NA
1,0.6588
1,NA
1,0.654
0.3586,0
1,0.6827
0.7,0.3705
1,0.6613
1,0.356
0.6768,0.6768
1,0.69
1,1
1,0.6732
1,0.6906
0.679,0.679
1,0.6594
1,0.6702
1,0.6854
0.7047,0
0.6421,0.6421
0.7259,0.3705
1,0.6421
0.6911,0
1,1
1,0.6731
1,1
0.6446,0.3438
1,0.3579
0.6669,0.3546
1,1
1,0.6885
1,1
1,0.6619
1,0.6536
0.6552,0.6552
1,0.6681
1,0.6657
1,0.66
1,0.6593
1,0.6392
1,NA
1,0.6742
0.6557,0.3278
1,0.6507
1,1
0.6872,0
1,0.3804
1,1
0.6448,NA
1,0.3511
1,0.3623
1,1
1,1
1,0.3469
0.3646,0
1,0.6546
1,0.3481
1,0.6773
1,0.6632
1,1
1,NA
1,NA
1,0.3442
1,1
1,1
1,0.707
1,NA
0.6559,NA
1,0.6232
1,1
1,0.3456
1,NA
1,0.3596
0.6667,0.3438
1,1
0.6559,NA
1,1
0.6333,0
1,1
1,0.664
1,1
1,NA
1,1
1,1
1,0.3784
1,0.6907
1,1
1,0.6733
0.3505,0
0.6589,0.6589
1,1
1,NA
1,0.7021
0.6389,0.6389
1,0.3388
0.6545,0.6545
1,NA
0.6821,0.6821
0.6559,0.6559
0.708,0.3591
0.6923,0.3516
0.6735,0.3469
0.6576,NA
1,0.6392
1,1
1,0.6495
0.68,0.68
1,1
1,0.657
1,0.6421
0.6289,0
1,0.3481
1,1
1,0.3463
1,1
1,NA
0.6771,0.6771
0.6763,0
1,1
1,NA
1,NA
1,0.6304
1,NA
1,NA
1,NA
0.6767,NA
1,0.6742
1,0.3803
1,0.3564
1,NA
1,0.6397
1,1
1,0.6677
1,NA
0.6803,0.6803
1,NA
1,NA
0.7139,0.3709
1,1
0.6782,0.6782
0.694,NA
1,0.6919
1,0.6947
1,NA
1,NA
1,0.6792
1,NA
1,0.6804
1,0.7003
1,0.6517
1,1
0.6466,0.342
1,NA
1,0.6792
1,NA
0.6444,0
0.6949,NA
1,NA
1,0.6802
1,NA
1,0.6799
1,1
1,1
1,0.6651
1,1
1,0.6444
1,1
1,0.6744
1,0.6966
1,0.6899
1,1
1,1
1,1
1,1
1,0.3516
1,NA
1,0.7684
0.6551,0
1,1
1,0.6667
1,1
0.6771,0
1,0.6472
1,0.6474
0.6495,0.3349
0.3804,0.3804
1,1
1,0.3456
1,0.6606
0.6291,NA
0.7114,0.3632
0.6237,0
1,0.6702
1,1
1,1
1,1
1,NA
1,1
1,0.6803
0.6565,0.6565
0.6495,NA
1,0.6557
1,NA
1,0.6749
1,0.34
0.6868,0
1,0.3476
0.6861,0
1,0.3771
1,0.6871
1,NA
1,1
1,0.3563
1,1
1,0.6606
0.6471,0
0.6839,0.3743
1,0.3451
0.6657,0
1,NA
1,1
1,0.6766
1,1
1,NA
0.6907,0.6907
0.686,0.686
1,NA
1,0.6894
0.6596,0
1,0.6669
1,1
1,1
0.6652,0
1,NA
1,NA
1,0.702
0.6543,0.6543
1,0.3684
0.664,NA
1,0.6853
0.6363,0.3417
0.6684,NA
1,NA
1,0.6854
1,NA
1,0.6353
1,1
0.6688,0.3519
1,0.688
1,0.6774
0.7158,0.3579
1,NA
1,0.68
1,NA
0.6947,0.3579
0.6534,0.6534
1,0.6304
1,1
1,0.3505
1,0.3603
0.6667,NA
1,1
0.6851,0.3596
1,NA
1,0.6359
1,0.3456
1,1
1,1
0.6724,0.3673
1,0.6759
1,0.6818
1,0.3462
0.6667,NA
1,0.6522
0.6691,0.351
1,0.3435
1,0.6667
1,NA
1,0.6838
1,0.6531
1,1
1,1
1,0.6847
0.7087,0.7087
1,0.6804
1,0.6818
1,0.6598
0.6501,0.3414
0.6659,0
1,0.3646
1,0.6246
1,1
1,1
1,0.3659
0.6361,0.3532
1,0.3455
1,0.3569
1,1
1,1
0.6547,0.3331
0.6946,0.6946
1,NA
1,1
1,1
1,0.6711
0.6703,0
1,1
1,1
1,1
1,1
1,0.6568
1,0.6804
1,1
1,1
1,0.6714
0.6611,0.6611
1,1
1,0.6477
1,0.6654
1,1
1,1
1,NA
0.6882,0.3441
1,NA
1,1
1,1
0.65,0.65
1,0.3639
0.6455,0.6455
0.6736,0
1,1
1,1
1,NA
0.6392,0.3299
1,NA
1,0.3483
1,1
0.6334,0.6334
1,NA
1,0.6839
1,0.3563
1,1
0.6576,NA
1,0.6795
1,0.6772
1,1
1,0.3682
1,0.6575
1,1
0.6571,0.3429
1,0.7158
1,1
1,0.3372
1,0.3423
1,0.6383
1,NA
1,0.6404
1,1
1,NA
1,NA
1,NA
1,0.3552
1,1
0.6476,0
0.6466,NA
0.6939,0.6939
1,0.6705
0.6629,NA
1,0.6765
1,0.3441
1,1
1,1
1,0.3542
0.6907,0.3711
1,0.6856
1,1
0.6783,0
1,0.6919
1,0.6704
1,NA
1,1
1,1
1,0.6667
1,0.6565
1,1
1,0.6764
1,0.6563
1,0.6695
1,1
0.6606,0.3425
1,1
1,0.6534
1,1
1,0.6727
1,1
1,NA
1,0.6941
1,NA
0.6599,0
1,1
0.347,0
1,0.6848
1,1
1,0.6665
1,1
1,0.6809
1,0.6939
1,0.6668
0.6544,0
1,1
0.6687,0.3463
1,1
1,1
1,1
1,0.3492
1,0.657
1,1
1,1
1,NA
1,1
1,1
1,1
1,0.3718
1,1
1,1
0.6492,0
1,1
0.6889,0.3549
1,NA
1,1
1,NA
1,NA
1,1
1,0.6544
1,1
0.3732,0
0.6549,0.6549
0.6566,0.3535
0.3428,0
1,1
0.6695,0.3511
1,0.6546
1,0.6594
1,0.6659
0.6813,0
0.66,0
1,1
1,1
1,0.6631
0.34,0
1,0.3709
1,1
1,0.3709
0.656,0
0.7011,0.3845
1,0.704
1,1
1,0.6769
1,0.6746
1,1
0.6307,0.6307
1,0.3683
0.6842,0.6842
1,1
1,0.6655
1,0.3542
1,NA
1,NA
1,NA
0.6361,0.6361
0.6667,0
0.6137,0
1,NA
1,0.6188
1,0.6433
1,1
1,0.6756
1,0.6735
1,NA
0.6705,0
1,1
1,0.6722
1,1
1,0.6522
1,1
1,1
1,1
1,0.3516
1,1
1,NA
0.6477,0
0.6327,0.6327
1,0.6614
1,0.6966
1,NA
1,0.6838
1,0.6316
1,0.3502
1,NA
1,0.6657
1,NA
1,1
1,0.6879
0.66,NA
1,0.6522
1,1
1,0.3556
0.6893,0
0.6633,0.3634
0.6703,0.3626
1,1
0.6966,0.3596
0.6934,0.352
1,NA
1,1
1,0.6533
1,NA
1,0.3697
0.3608,0.3608
1,0.6297
1,1
1,1
1,0.6596
1,NA
0.6599,NA
0.6721,0.3361
0.7068,0
1,1
1,0.672
1,NA
1,0.3609
1,0.3384
1,NA
1,1
0.6484,0.6484
1,1
0.3558,0
1,0.6907
0.6735,NA
1,1
1,0.3684
1,0.6631
1,0.3626
0.6925,0
1,1
1,1
1,1
1,0.6997
0.6967,0
1,0.6526
0.6524,0.356
0.6737,0.6737
1,NA
0.6694,NA
0.6697,NA
1,1
1,0.3371
1,0.6658
0.6775,NA
1,0.6333
1,NA
1,1
1,NA
0.6489,0
1,0.708
1,1
0.6733,NA
0.7142,NA
1,0.6337
1,0.6211
0.6117,0
0.66,NA
1,NA
1,0.673
1,0.6454
1,0.6477
1,NA
0.6891,0.6891
1,0.6508
1,1
0.6464,0.6464
1,1
1,0.6742
0.6852,0.3453
1,1
1,1
1,1
1,1
1,NA
1,1
1,1
1,0.6693
1,1
1,0.69
1,1
1,1
0.7071,0.7071
1,0.65
1,0.6452
1,1
1,0.67
1,0.6915
1,0.6809
1,0.3393
1,0.6492
1,0.7065
1,1
1,NA
0.6591,0.3506
1,NA
1,0.6856
1,1
0.6694,0.6694
1,0.6774
1,1
0.6957,0
0.6721,0.3361
0.6497,0
1,0.6676
1,0.3511
1,0.3603
1,1
1,1
1,0.6705
1,0.6729
1,NA
0.6735,NA
0.6495,NA
1,1
1,0.3407
0.6545,0.3335
1,1
1,0.6735
1,1
1,1
0.3398,0.3398
1,0.3615
1,1
0.6816,0.6816
1,NA
1,1
1,1
0.6598,0.3608
1,1
1,0.6759
1,1
1,0.7185
1,0.365
1,0.6658
1,0.3804
0.6567,0.3398
0.6772,0.6772
0.6595,0
1,1
1,1
1,NA
1,0.6715
1,1
1,1
1,NA
1,1
1,0.6768
1,NA
0.6733,0
1,0.6526
0.6354,0
0.6423,0
1,0.6437
1,NA
1,1
1,0.3978
1,0.6814
1,0.6931
1,0.6637
1,0.6921
1,0.6634
1,0.3594
1,0.6621
1,0.3402
1,0.3463
1,0.6667
1,0.6495
1,0.6619
1,NA
1,0.6593
0.6186,0
0.6628,0.6628
1,0.7069
1,1
1,0.6894
1,1
1,1
0.6897,0.6897
1,0.6733
1,0.6425
1,0.6413
0.6559,0
1,0.6684
1,0.3602
1,1
1,1
1,1
1,0.6695
1,1
1,0.6593
1,1
1,1
1,NA
1,0.6742
1,1
1,0.6454
1,0.6837
1,0.3666
1,NA
1,0.6888
1,0.6503
1,0.6659
1,NA
1,0.6729
1,0.7141
1,NA
1,1
1,NA
1,0.3395
1,0.3619
0.6731,0.3371
0.694,0
0.6515,0.6515
1,0.343
1,1
0.3551,0
1,0.3522
1,1
0.6617,0
1,1
0.6927,0.6927
1,0.6737
1,0.3505
1,1
1,NA
1,0.6421
0.6633,NA
1,0.6952
1,NA
1,1
1,NA
1,NA
1,1
1,NA
1,1
1,0.6686
0.6556,NA
0.6659,NA
1,1
0.3512,0
1,NA
1,NA
1,NA
1,0.6637
0.6871,0
1,0.667
0.667,0.3341
1,0.6366
0.6388,NA
0.6644,0
1,NA
1,0.66
0.6846,NA
1,0.6806
1,1
1,0.678
1,1
1,NA
1,0.6752
1,1
1,1
1,0.6769
1,0.6814
1,0.3514
1,1
1,1
1,0.684
1,NA
1,0.6539
0.6753,0
1,1
1,0.7007
0.6738,0.6738
1,0.3503
1,NA
1,NA
1,1
0.667,0
0.6543,0
1,0.6871
0.6601,NA
1,NA
1,0.6813
1,1
1,0.684
1,0.3725
1,1
1,0.6875
1,0.6796
1,1
1,1
0.6642,0
1,0.3618
1,0.6703
1,NA
1,NA
0.64,0
1,NA
1,0.7092
1,0.6939
1,1
1,0.3529
1,0.6308
1,NA
1,1
1,0.6657
0.6854,0.3596
1,0.682
1,1
0.6365,0
1,0.667
1,1
1,0.7143
1,NA
1,0.6633
0.6292,0
1,1
1,0.3531
0.6734,0.6734
0.6989,0.6989
1,1
1,0.6556
0.6697,0.3394
1,NA
0.6987,NA
0.6473,0.6473
0.3533,0.3533
0.7099,0.7099
1,0.6662
1,1
1,1
1,NA
1,1
1,1
1,0.658
1,1
1,1
1,1
1,0.6715
1,0.6723
1,0.6774
1,1
1,0.6505
1,NA
1,NA
1,1
1,1
0.6939,0.3469
0.6362,0
1,0.6838
1,0.6849
1,1
1,1
1,1
1,0.6497
1,NA
1,1
0.6701,0.6701
1,1
0.6804,0
1,1
0.6586,0.6586
0.6768,0.3434
0.6768,0.3388
0.6821,0.6821
0.6416,0
1,0.7057
0.6596,0.6596
0.6989,0.6989
1,1
1,1
1,1
0.6556,0.6556
1,NA
1,1
1,0.6659
0.6513,0.3469
1,NA
1,NA
1,0.7099
1,0.6632
0.3368,0
0.6392,0.6392
0.6863,NA
0.6721,NA
1,1
0.6807,0
0.6931,NA
1,1
1,NA
0.6421,0
0.6848,NA
1,0.6048
0.6699,NA
1,NA
1,0.6665
1,1
0.6876,0
1,1
0.6811,0.6811
0.6788,0
0.6565,NA
0.6525,0.3475
1,1
0.6444,NA
1,1
1,1
0.3548,0.3548
1,0.6783
1,0.6289
1,NA
1,0.3787
1,0.344
1,0.6875
1,0.3488
1,0.6459
1,0.6709
1,1
1,1
1,1
1,0.6438
1,1
1,1
1,1
1,1
1,0.6598
1,0.6837
1,1
1,1
0.6528,0.6528
1,0.696
1,1
1,1
1,0.3693
1,NA
1,0.6627
1,0.672
1,1
0.7029,0.3619
0.6545,0.6545
1,1
0.6856,0.6856
0.6845,NA
1,0.7158
1,0.6484
1,NA
1,NA
1,1
1,0.3495
1,0.6609
0.6621,0.3483
1,0.6714
0.6683,NA
0.6592,NA
1,0.6762
1,1
1,0.3424
0.6559,0.6559
1,0.7118
1,0.6526
1,0.6421
1,1
1,1
1,0.704
1,0.3838
1,NA
1,0.6867
1,0.6484
1,NA
1,0.6729
1,0.6809
1,1
1,0.3388
1,0.6735
1,NA
0.67,0.67
1,NA
0.6554,0.6554
1,0.6863
1,1
0.6698,0
1,1
1,0.6509
1,1
1,1
0.7087,0.3707
1,NA
1,1
0.6809,0.3723
1,0.6306
0.68,0
1,1
1,0.7008
0.6655,0
1,1
1,NA
1,0.6727
1,0.6552
1,NA
1,1
1,0.653
1,1
1,0.3667
0.6774,0.3763
0.6957,0
0.6593,0
0.6362,NA
1,1
0.6809,0.6809
1,1
1,NA
0.678,0.3522
1,0.6809
1,NA
1,0.6303
1,0.6666
1,0.6787
1,0.6783
0.6632,NA
1,0.6373
1,0.6334
0.6769,NA
1,0.6568
1,1
1,0.6809
0.6745,NA
0.6745,0
1,0.6526
1,0.6846
1,1
1,0.3441
1,NA
0.6988,0.3695
0.663,0.663
0.6572,0.3327
0.3656,0
1,1
1,NA
0.684,0.3499
1,0.6721
0.6562,0.3568
1,1
1,0.3547
1,1
0.6414,0
1,1
0.6702,0.3723
1,0.6556
1,0.6593
1,1
1,0.7161
1,1
1,0.6771
0.6762,0.3524
1,1
1,1
1,0.6411
1,0.3773
1,0.6702
1,0.6383
1,0.6745
0.6774,0
0.6737,0.3474
1,1
1,1
1,1
1,NA
1,1
0.3603,0.3603
1,0.3465
1,1
1,0.6402
0.6923,0.6923
0.6496,0
1,1
1,0.6823
1,0.6478
1,1
0.6437,0
1,0.6685
0.6997,NA
1,0.6871
1,0.6427
